date,close
2015-02-20,26056.4
2015-02-23,26321.7
2015-02-24,26500.0
2015-02-25,26464.0
2015-02-26,26679.5
2015-02-27,26772.5
2015-03-02,26772.9
2015-03-03,26387.4
2015-03-04,26475.1
2015-03-05,26650.3
2015-03-06,26572.3
2015-03-09,26482.1
2015-03-10,26117.9
2015-03-11,26404.4
2015-03-12,26380.5
2015-03-13,26433.2
2015-03-16,26627.0
2015-03-17,26419.6
2015-03-18,26472.0
2015-03-19,26570.3
2015-03-20,27357.6
2015-03-23,27440.4
2015-03-24,27743.5
2015-03-25,27469.1
2015-03-26,27442.8
2015-03-27,27379.5
2015-03-30,27663.8
2015-03-31,27644.6
2015-04-01,27761.6
2015-04-02,27915.6
2015-04-07,28147.1
2015-04-08,27967.1
2015-04-09,28156.9
2015-04-10,28192.2
2015-04-13,28485.2
2015-04-14,28202.2
2015-04-15,28379.7
2015-04-16,27980.0
2015-04-17,27376.3
2015-04-20,27437.0
2015-04-21,27527.9
2015-04-22,27472.2
2015-04-23,27536.2
2015-04-24,27728.0
2015-04-27,28053.0
2015-04-28,27974.6
2015-04-29,27423.2
2015-04-30,27437.8
2015-05-04,27570.4
2015-05-05,26814.1
2015-05-06,26941.1
2015-05-07,26981.6
2015-05-08,27577.6
2015-05-11,27628.5
2015-05-12,27429.4
2015-05-13,27434.3
2015-05-14,27614.0
2015-05-15,27416.7
2015-05-18,27483.9
2015-05-19,27853.8
2015-05-20,28038.8
2015-05-21,28090.3
2015-05-22,27990.6
2015-05-25,27428.9
2015-05-26,27230.1
2015-05-27,27692.3
2015-05-28,27575.3
2015-05-29,27175.1
2015-06-01,27224.9
2015-06-02,27315.5
2015-06-03,27306.5
2015-06-04,27011.9
2015-06-05,26809.4
2015-06-08,26464.6
2015-06-09,26514.9
2015-06-10,26901.3
2015-06-11,27044.9
2015-06-12,26745.9
2015-06-15,26288.8
2015-06-16,26359.9
2015-06-17,26219.4
2015-06-18,26402.6
2015-06-19,26578.2
2015-06-22,27607.7
2015-06-23,27691.0
2015-06-24,27495.2
2015-06-25,27462.5
2015-06-26,27617.6
2015-06-29,26360.8
2015-06-30,26156.0
2015-07-01,26539.4
2015-07-02,26401.3
2015-07-03,26285.0
2015-07-06,25700.5
2015-07-07,25233.2
2015-07-08,25438.7
2015-07-09,26112.0
2015-07-10,26916.2
2015-07-13,27375.0
2015-07-14,27458.1
2015-07-15,27649.0
2015-07-16,28109.3
2015-07-17,28036.3
2015-07-20,28220.6
2015-07-21,27982.4
2015-07-22,28045.1
2015-07-23,27941.6
2015-07-24,27617.7
2015-07-27,27217.5
2015-07-28,27478.9
2015-07-29,27553.4
2015-07-30,27282.7
2015-07-31,27312.2
2015-08-03,27556.3
2015-08-04,27274.1
2015-08-05,27589.6
2015-08-06,27526.1
2015-08-07,27341.7
2015-08-10,27668.4
2015-08-11,27278.5
2015-08-12,26612.7
2015-08-13,26778.4
